# of Uses,# of Uses
%s tag(s) have been accepted for moderation.,%s Funding Tag(s) have been accepted for moderation.
<strong>Tag Name:</strong> %s,<strong>Funding Tag Name:</strong> %s
Action,Action
Add,Add
Add New Tag,Add New Funding Tag
Add Tags,Add Funding Tags
Add Your Tags:,Add Your Funding Tags:
Add tag(s) to product,Add Funding Tag(s) to product
Add to Cart,Add to Cart
Add to Wishlist,Add to Wishlist
All Tags,All Funding Tags
Approved,Approved
Are you sure you want to delete this tag?,Are you sure you want to delete this Funding Tag?
Are you sure you want to do this?,Are you sure you want to do this?
Are you sure?,Are you sure?
Back,Back
Back to Tags List,Back to Funding Tags List
Base Popularity,Base Popularity
Block Information,Block Information
CSV,CSV
Catalog Product View,Catalog Product View
Change status,Change status
Click on a tag to view your corresponding products.,Click on a Funding Tag to view your corresponding products.
Country,Country
Customer My Account My Tags List,Customer My Account My Funding Tags List
Customer My Account Tag View,Customer My Account Funding Tag View
Customer Since,Customer Since
Customers,Customers
Customers Submitted this Tag,Customers Submitted this Funding Tag
Customers Tagged '%s',Customers Tagged '%s'
Delete,Delete
Delete Tag,Delete Funding Tag
Disabled,Disabled
Edit Tag '%s',Edit Funding Tag '%s'
Email,Email
First Name,First Name
General Information,General Information
Grid,Grid
ID,ID
Info,Info
Last Name,Last Name
List,List
Manage Tags,Manage Funding Tags
My Recent Tags,My Recent Funding Tags
My Tags,My Funding Tags
Name,Name
New Tag,New Funding Tag
No matches found.,No matches found.
Other people marked this product with these tags:,Other people marked this product with these Funding Tags:
Pending,Pending
Pending Tags,Pending Funding Tags
Popular,Popular
Popular Tags,Popular Funding Tags
Price,Price
Product Name,Product Name
Product SKU,Product SKU
Product Tag API,Product Funding Tag API
Product Tags,Product Funding Tags
Products,Products
Products Tagged by Administrators,Products Tagged by Administrators
Products Tagged by Customers,Products Tagged by Customers
Products Tagged with '%s',Products Tagged with '%s'
Products tagged with '%s',Products Tagged with '%s'
Rebuild Tag aggregation data,Rebuild Funding Tag aggregation data
Remove,Remove
Remove product tag,Remove product Funding Tag
Retrieve list of tags by product,Retrieve list of Funding Tags by product
Retrieve product tag info,Retrieve product Funding Tag info
SKU,SKU
Save Tag,Save Funding Tag
Save and Continue Edit,Save and Continue Edit
Status,Status
Store View,Store View
Tag,Funding Tag
"Tag ""%s"" has already been added to the product.","Funding Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Funding Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Funding Tag ""%s"" has been rejected by administrator."
Tag Aggregation Data,Funding Tag Aggregation Data
Tag Name,Funding Tag Name
Tagged Products List,Tagged Products List
Tags,Funding Tags
Tags List (All Available),Funding Tags List (All Available)
Tags List Before,Funding Tags List Before
Tags:,Funding Tags:
Telephone,Telephone
The tag has been deleted.,The Funding Tag has been deleted.
There are no tags available.,There are no Funding Tags available.
Unable to find any products tagged with '%s' in the current store,Unable to find any products Tagged with '%s' in the current store
"Unable to remove tag. Please, try again later.","Unable to remove Funding Tag. Please, try again later."
Unable to save tag(s).,Unable to save Funding Tag(s).
Update,Update
Update product tag,Update product Funding Tag
Use spaces to separate tags. Use single quotes (') for phrases.,Use spaces to separate Funding Tags. Use single quotes (') for phrases.
View All Tags,View All Funding Tags
View Customers,View Customers
View Products,View Products
XML,XML
You have not tagged any products yet.,You have not Tagged any products yet.
ZIP/Post Code,ZIP/Post Code
[STORE VIEW],[STORE VIEW]
